r-0.0557,-0.0195,0.0225,-2.1169,0.0023,0.0206,0.2238,139.0000,-0.0024,-0.0023,, 0, 0, 1, 0, 0
0.0531,-0.0234,0.0151,-2.7125,0.0063,0.0189,0.2025,110.0000,0.0005,-0.0063,, 0, 0, 1, 0, 0
0.0501,0.0023,-0.0233,-3.3159,0.0095,0.0221,-0.0692,10.0000,-0.0014,-0.0095,, 0, 0, 1, 0, 0
s-0.0572,0.0266,0.0080,-4.8320,0.0127,0.0245,0.2159,38.0000,-0.0189,-0.0127,, 1, 0, 0, 0, 0
-0.0306,-0.0955,0.0801,-4.9991,0.0174,0.0025,0.8172,108.0000,0.0035,-0.0174,, 1, 0, 0, 0, 0
0.0127,-0.1119,-0.0001,-3.7718,0.0163,-0.0027,0.1596,64.0000,0.0062,-0.0163,, 1, 0, 0, 0, 0
f0.0494,-0.0798,-0.0406,-0.9413,0.0113,-0.0212,-0.2328,130.0000,0.0051,-0.0113,, 0, 1, 0, 0, 0
-0.0510,-0.0436,-0.0398,2.8239,0.0003,-0.0319,-0.3479,186.0000,0.0083,-0.0003,, 0, 1, 0, 0, 0
r-0.2311,0.0517,0.0718,5.9467,-0.0185,-0.0037,0.3860,7.0000,0.0058,0.0185,, 0, 0, 1, 0, 0
0.0011,0.1232,0.0229,7.6828,-0.0251,-0.0041,-0.0714,127.0000,0.0027,0.0251,, 0, 0, 1, 0, 0
-0.0364,0.1208,0.0081,6.9207,-0.0201,0.0038,-0.1318,103.0000,-0.0037,0.0201,, 0, 0, 1, 0, 0
s-0.0078,-0.3263,-0.0248,2.4874,-0.0134,-0.0273,-0.3597,57.0000,0.0183,0.0134,, 1, 0, 0, 0, 0
0.0301,0.1688,0.0128,3.3620,-0.0081,0.0006,0.0219,40.0000,-0.0114,0.0081,, 1, 0, 0, 0, 0
-0.0501,0.1475,0.0356,0.6529,-0.0026,0.0025,0.2616,22.0000,-0.0078,0.0026,, 1, 0, 0, 0, 0
0.0462,-0.0408,0.0653,-2.6481,0.0033,0.0062,0.5619,109.0000,-0.0049,-0.0033,, 1, 0, 0, 0, 0
f0.0184,-0.0179,0.0580,-3.2962,0.0063,-0.0050,0.5214,117.0000,-0.0065,-0.0063,, 0, 1, 0, 0, 0
-0.0519,-0.0867,-0.0268,-3.3058,0.0080,-0.0153,-0.1492,163.0000,0.0039,-0.0080,, 0, 1, 0, 0, 0
0.0124,-0.0666,0.0172,-2.3893,0.0044,-0.0165,0.1648,83.0000,0.0033,-0.0044,, 0, 1, 0, 0, 0
-0.0135,-0.0867,0.0143,-0.8910,0.0023,-0.0214,0.1157,108.0000,0.0051,-0.0023,, 0, 1, 0, 0, 0
-0.0423,-0.0434,-0.0400,1.8763,-0.0012,-0.0289,-0.3608,139.0000,0.0071,0.0012,, 0, 1, 0, 0, 0
r0.1607,0.6658,-0.1804,7.5127,-0.0099,0.0175,-1.5242,96.0000,-0.0185,0.0099,, 0, 0, 1, 0, 0
-0.0703,0.2539,-0.0025,3.6907,-0.0149,0.0209,-0.1480,101.0000,-0.0143,0.0149,, 0, 0, 1, 0, 0
s-0.0171,-0.2280,0.0051,0.3890,-0.0118,-0.0205,-0.0974,70.0000,0.0157,0.0118,, 1, 0, 0, 0, 0
0.0132,0.0742,0.0117,0.9929,-0.0098,-0.0011,-0.0049,187.0000,-0.0049,0.0098,, 1, 0, 0, 0, 0
-0.0158,0.0201,0.0225,0.0378,-0.0071,-0.0004,0.1093,21.0000,-0.0037,0.0071,, 1, 0, 0, 0, 0
-0.0099,-0.1022,0.0534,-0.4510,-0.0034,-0.0082,0.3850,5.0000,0.0051,0.0034,, 1, 0, 0, 0, 0
-0.0051,-0.0240,0.0604,0.2778,0.0010,-0.0067,0.4858,15.0000,0.0021,-0.0010,, 1, 0, 0, 0, 0
r0.0477,0.4282,-0.0110,3.1461,0.0018,0.0269,-0.0435,121.0000,-0.0192,-0.0018,, 0, 0, 1, 0, 0
-0.0146,0.0886,0.0328,-0.1606,0.0037,0.0168,0.3158,11.0000,-0.0025,-0.0037,, 0, 0, 1, 0, 0
0.0307,0.0063,0.0593,-1.8331,0.0064,0.0208,0.5597,105.0000,-0.0031,-0.0064,, 0, 0, 1, 0, 0
0.0265,-0.0183,0.0419,-2.4931,0.0097,0.0199,0.4515,76.0000,-0.0009,-0.0097,, 0, 0, 1, 0, 0
0.0297,-0.0626,0.0255,-3.0119,0.0097,0.0183,0.3190,0.0000,0.0017,-0.0097,, 0, 0, 1, 0, 0
0.0145,0.0136,0.0047,-2.7643,0.0096,0.0195,0.1529,121.0000,0.0001,-0.0096,, 0, 0, 1, 0, 0
s-0.0284,0.1001,0.0644,-2.4030,0.0066,0.0101,0.5907,161.0000,-0.0093,-0.0066,, 1, 0, 0, 0, 0
-0.0048,-0.0689,-0.0081,-1.8070,0.0055,-0.0055,-0.0155,96.0000,0.0051,-0.0055,, 1, 0, 0, 0, 0
-0.0139,-0.0897,-0.0094,-0.0152,0.0034,-0.0134,-0.0552,11.0000,0.0094,-0.0034,, 1, 0, 0, 0, 0
-0.0100,0.0405,-0.0835,2.0144,-0.0016,-0.0108,-0.6951,129.0000,0.0027,0.0016,, 1, 0, 0, 0, 0
r0.0087,0.0065,0.0236,3.2889,-0.0028,-0.0153,0.1455,197.0000,0.0227,0.0028,, 0, 0, 1, 0, 0
0.0608,0.1443,-0.0006,3.8724,-0.0072,0.0107,-0.0661,39.0000,-0.0044,0.0072,, 0, 0, 1, 0, 0
