-0.0357,-0.3681,0.0444,-3.3396,0.0025,-0.0269,0.3533,80.0000,0.0156,-0.0025,, 0, 1, 0, 0, 0
0.0111,-0.1025,-0.0455,-0.4672,0.0029,-0.0227,-0.3583,132.0000,0.0056,-0.0029,, 0, 1, 0, 0, 0
-0.1975,0.2786,0.0244,1.7765,0.0005,0.0217,0.2224,119.0000,-0.0113,-0.0005,, 0, 0, 1, 0, 0
0.0042,0.0947,0.0219,0.0839,0.0013,0.0170,0.2052,199.0000,-0.0032,-0.0013,, 0, 0, 1, 0, 0
0.0119,0.0029,0.0148,-1.7262,0.0045,0.0211,0.1843,110.0000,-0.0036,-0.0045,, 0, 0, 1, 0, 0
-0.0920,0.0254,0.0550,-1.5353,0.0091,-0.0089,0.5221,177.0000,-0.0060,-0.0091,, 0, 1, 0, 0, 0
0.0142,-0.1326,0.0125,-0.5031,0.0107,-0.0260,0.1814,40.0000,0.0090,-0.0107,, 0, 1, 0, 0, 0
-0.0043,0.0273,0.0481,1.8963,0.0132,-0.0251,0.4920,126.0000,0.0033,-0.0132,, 0, 1, 0, 0, 0
-0.1977,0.2402,-0.0999,3.0792,0.0091,0.0175,-0.6907,108.0000,-0.0097,-0.0091,, 0, 0, 1, 0, 0
0.0113,0.1392,-0.0627,1.7937,0.0062,0.0161,-0.4236,151.0000,-0.0057,-0.0062,, 0, 0, 1, 0, 0
-0.0305,0.1496,-0.0571,-0.1202,0.0074,0.0243,-0.3589,22.0000,-0.0100,-0.0074,, 0, 0, 1, 0, 0
0.0324,0.0164,-0.0413,-2.3456,0.0067,0.0238,-0.2397,67.0000,-0.0051,-0.0067,, 0, 0, 1, 0, 0
0.0191,-0.0759,-0.0185,-3.2532,0.0083,0.0204,-0.0449,170.0000,0.0001,-0.0083,, 0, 0, 1, 0, 0
0.0163,-0.0422,-0.0017,-2.6909,0.0079,0.0194,0.0845,61.0000,-0.0000,-0.0079,, 0, 0, 1, 0, 0
0.0343,-0.0974,0.0052,-1.7820,0.0056,0.0129,0.1109,20.0000,0.0047,-0.0056,, 0, 0, 1, 0, 0
0.0175,-0.1088,-0.0177,0.1144,0.0040,0.0029,-0.0990,143.0000,0.0108,-0.0040,, 0, 0, 1, 0, 0
0.0207,0.0490,-0.0390,2.2645,0.0005,0.0072,-0.2998,76.0000,0.0023,-0.0005,, 0, 0, 1, 0, 0
