AccelAngle,GyroAngle,SpinAngle,currentspeed,spincomp,tiltCurrent,bigTiltCurrent,WheelPos,error,turnerror,stop,forward,reverse,clockwise,anticlockwise
-0.0004,0.0484,-0.0370,1.1877,-0.0218,0.0009,-0.5133,139.0000,-0.0249,0.0218,1,0,0,0,0
-0.0455,-0.0107,0.1847,1.6633,-0.0079,-0.0047,1.3943,60.0000,-0.0193,0.0079,1,0,0,0,0
0.0008,-0.0346,0.1006,1.5774,0.0108,-0.0067,0.9062,40.0000,-0.0173,-0.0108,1,0,0,0,0
0.0134,-0.0005,0.0903,1.4514,0.0240,-0.0053,0.9566,1.0000,-0.0187,-0.0240,1,0,0,0,0
0.0427,-0.0020,-0.0706,0.5076,0.0268,-0.0027,-0.2992,99.0000,-0.0213,-0.0268,1,0,0,0,0
0.0393,-0.0540,0.0665,-0.6522,0.0298,-0.0045,0.8259,93.0000,-0.0195,-0.0298,1,0,0,0,0
0.0225,-0.0590,-0.1069,-1.1766,0.0258,-0.0042,-0.6018,197.0000,-0.0198,-0.0258,1,0,0,0,0
-0.0007,-0.1054,-0.0382,-0.7196,0.0187,-0.0085,-0.1267,89.0000,-0.0155,-0.0187,1,0,0,0,0
-0.0025,-0.0394,0.0311,0.0606,0.0153,-0.0063,0.3954,52.0000,-0.0177,-0.0153,1,0,0,0,0
-0.0035,-0.0008,0.0062,0.3960,0.0115,-0.0050,0.1596,66.0000,-0.0190,-0.0115,1,0,0,0,0
-0.0132,-0.0129,0.0805,0.5342,0.0178,-0.0033,0.8191,114.0000,-0.0207,-0.0178,1,0,0,0,0
0.0238,-0.0084,-0.0254,0.2708,0.0208,-0.0047,0.0002,145.0000,0.0207,-0.0208,1,0,0,0,0
0.0500,-0.0072,-0.0218,-0.0144,0.0147,-0.0037,-0.0307,156.0000,-0.0203,-0.0147,1,0,0,0,0
-0.0013,-0.0863,0.0164,-0.5186,0.0107,-0.0063,0.2324,119.0000,-0.0177,-0.0107,1,0,0,0,0
0.0802,-0.0646,-0.0279,0.1609,0.0102,-0.0066,-0.1275,88.0000,-0.0174,-0.0102,1,0,0,0,0
0.0018,0.0326,-0.0554,0.8710,0.0034,-0.0020,-0.4104,126.0000,-0.0220,-0.0034,1,0,0,0,0
-0.0222,0.0636,-0.0163,0.4537,0.0002,-0.0007,-0.1294,185.0000,-0.0233,-0.0002,1,0,0,0,0
0.0157,-0.0434,-0.0407,-0.9446,-0.0066,-0.0029,-0.3946,145.0000,-0.0211,0.0066,1,0,0,0,0
0.0385,-0.0388,0.0720,-0.7073,-0.0076,-0.0041,0.4955,31.0000,0.0201,0.0076,1,0,0,0,0
0.0399,-0.1126,0.0015,0.0330,-0.0044,-0.0098,-0.0420,182.0000,-0.0142,0.0044,1,0,0,0,0
0.0042,0.0641,0.0655,2.0227,-0.0018,-0.0023,0.5031,84.0000,-0.0217,0.0018,1,0,0,0,0
0.0048,0.0602,0.0132,1.8184,0.0106,-0.0013,0.2102,66.0000,-0.0227,-0.0106,1,0,0,0,0
0.0159,-0.0027,0.0535,0.5962,0.0183,-0.0031,0.6080,189.0000,0.0191,-0.0183,1,0,0,0,0
0.0284,0.0069,-0.0431,-0.1806,0.0159,-0.0014,-0.1874,0.0000,-0.0226,-0.0159,1,0,0,0,0
0.0054,-0.0413,-0.0173,-0.9088,0.0074,-0.0036,-0.0674,130.0000,-0.0204,-0.0074,1,0,0,0,0
0.0359,-0.0841,0.0799,-0.9748,0.0091,-0.0071,0.7231,17.0000,-0.0169,-0.0091,1,0,0,0,0
0.0465,-0.0938,-0.0543,-0.9248,0.0034,-0.0059,-0.4059,130.0000,-0.0181,-0.0034,1,0,0,0,0
0.0506,-0.0109,-0.1917,0.4039,-0.0140,-0.0043,-1.6776,81.0000,-0.0197,0.0140,1,0,0,0,0
-0.0002,0.0457,0.0492,1.3141,-0.0228,-0.0024,0.1629,129.0000,-0.0216,0.0228,1,0,0,0,0
-0.0057,0.0272,-0.0050,0.6362,-0.0233,-0.0026,-0.2756,14.0000,-0.0214,0.0233,1,0,0,0,0
-0.0071,-0.0574,-0.0034,-0.3852,-0.0235,-0.0054,-0.2681,27.0000,-0.0186,0.0235,1,0,0,0,0
0.0242,-0.0260,0.0212,-0.5483,-0.0197,-0.0030,-0.0301,173.0000,-0.0210,0.0197,1,0,0,0,0
0.0225,-0.1262,-0.0614,-0.8852,-0.0296,-0.0091,-0.7964,83.0000,-0.0149,0.0296,1,0,0,0,0
-0.0283,-0.0027,-0.0111,0.0705,-0.0317,-0.0031,-0.4091,68.0000,0.0191,0.0317,1,0,0,0,0
